date,startup,vertical,subvertical,city,investor,round,amount
1/14/2021,Buildkar,ECommerce,Construction Material Marketplace,Bangalore,"Mustafa Wajid, Umang Kumar & Others",Seed Funding,0
1/14/2021,Orahi,Consumer Internet,Carpooling Mobile App,Gurgaon,Indian Angel Network,Seed Funding,4.29
1/14/2021,Zapr,Technology,TV to Mobile audience Platform,Gurgaon,"Flipkart, Saavn, Micromax, Dhiraj Rajaram, Ambiga Dhiraj, Dinesh Agarwal, Samir Bangara, Sanjay Nath, Arihant Patni",Seed Funding,0
1/15/2021,Remidio,Healthcare,Healthcare Product Manufacturer,Bangalore,Cipher-Plexus Capital Advisors & Indian HNIs,Private Equity,0
1/15/2021,Fitso,Consumer Internet,Fitness related Social Networking App & Forum,Gurgaon,"Varun Khurana, Samar Singla, Vinay Bansal,",Seed Funding,1.65
1/15/2021,evibe.in,Consumer Internet,Party Hall Booking platform,Bangalore,"Hyderabad Angels, Lalit Mangal,\\xc2\\xa0 Vikas Malpani, Gaurav Bhalotia, LV Prasad",Seed Funding,0
1/15/2021,Zoctr,Consumer Internet,healthcare aggregator platform,Mumbai,Times Group,Seed Funding,0
1/15/2021,Jobick,Consumer Internet,Mobile app based Job Search,Noida,Abhinav Mathur,Seed Funding,0
1/16/2021,Plick,Consumer Internet,Instant Content Transfer Mobile App,Mumbai,Sanjay Mehta,Seed Funding,0
1/18/2021,Voice Friends,Consumer Internet,Dating & Singles Chat Platform,Mumbai,Huzaifa Khorakiwala,Seed Funding,0
1/18/2021,Kartrocket,Consumer Internet,SAAS DIY\\xc2\\xa0 ECommerce Platform,New Delhi,"Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding, 500 Startups",Private Equity,49.5
1/19/2021,Swiggy,Consumer Internet,Online/Mobile food ordering platform,Bangalore,"Harmony Partners, RB Investments & existing investors",Private Equity,288.75
1/19/2021,TinyStep,Consumer Internet,Parenting Social Network,Bangalore,Flipkart,Seed Funding,0
1/19/2021,Cashkaro,Consumer Internet,Coupon & Cashback platform,Gurgaon,Ratan Tata,Private Equity,0
1/19/2021,Gameezop,Consumer Internet,Casual Gaming platform,New Delhi,Anand Chandrasekaran & Others,Seed Funding,0
1/19/2021,DailyObjects,ECommerce,Mobile Accessories etailer,New Delhi,"Unilazer Fund,\\xc2\\xa0 Phanindra Sama, Peyush Bansal",Private Equity,11.55
1/19/2021,Indus OS,Technology,Local language Mobile OS,Mumbai,"Omidyar Network,",Private Equity,41.25
1/19/2021,CollegeDunia,Consumer Internet,Educational College Search platform,New Delhi,Umang Kumar,Seed Funding,3.67125
1/19/2021,Villgro,Finance,Social Business Incubator & Fund,Chennai,"Lemelson Foundation, Michael and Susan Dell Foundation",Private Equity,28.875
1/20/2021,Reddoorz,Consumer Internet,Budget Accomodation Aggregator,New Delhi,500 Startups,Private Equity,0
1/20/2021,IndustryBuying,ECommerce,B2B Industrial Goods Marketplace,New Delhi,Trifecta Capital,Private Equity,14.85
1/20/2021,Just Buy Live,ECommerce,B2B Marketplace for Distributors,Mumbai,Alpha Capital,Private Equity,165
1/20/2021,IMbesharam,ECommerce,Adult Products Etailers,New Delhi / US,Undisclosed US Based Investors,Private Equity,33
1/20/2021,Moodoo,Consumer Internet,Social Meeting organizer App,Mumbai / UK,Sa\\xc3\\xafd Business School Seed Fund.,Seed Funding,0.33
1/20/2021,Saral Designs,Healthcare,Women Hygiene Product Manufacturer,Mumbai,"Farooq Adam, Ambi Parameswaran,",Seed Funding,0
1/21/2021,FirstCry,ECommerce,Kids Focused eTailer,Pune,Ratan Tata,Private Equity,0
1/21/2021,Fisdom,Consumer Internet,Personal Finance Mobile App,Bangalore,Rob Chandra,Seed Funding,4.125
1/21/2021,Easypolicy,Consumer Internet,Online insurance policy aggregator,Noida,Unilazer Ventures,Private Equity,18.15
1/21/2021,Housing.com,Consumer Internet,Online Real Estate Portal,Mumbai,SoftBank Corp,Private Equity,123.75
1/21/2021,CREO,Technology,Smartphone OS Developer,Bangalore,"Sequoia Capital, Beenext Ventures, India Quotient, Anand Chandrasekaran",Private Equity,24.75
1/22/2021,ShabdaNagari,Consumer Internet,Hindi Language Social Networking Portal,Kanpur,Kanpur Angels & Others,Seed Funding,1.65
1/22/2021,Little,Consumer Internet,Deal Discovery App,Bangalore,GIC,Private Equity,0
1/22/2021,SnapBizz,ECommerce,Mobile based Retail Market Ecosystem,Bangalore,"Jungle Ventures, Taurus Value Creation, Konly Venture, Blume Ventures",Private Equity,59.4
1/22/2021,Qlivery,Consumer Internet,on-demand concierge services,Gurgaon,Chandigarh Angels Funding,Seed Funding,0
1/22/2021,PlexusMD,Consumer Internet,Social Network for Healthcare Professionals,Ahmedabad,"Arihant Patni, Avnish Mehra, Pranay Adhvaryu, Ravi Sampat",Seed Funding,0
1/22/2021,Silvan,Technology,Home Automation & Security Solutions,Bangalore,The Chennai Angels,Seed Funding,4.24875
1/22/2021,EPS,Technology,Electronic Payments Solution Company,Mumbai,APIS Partners,Private Equity,288.75
1/22/2021,Qubole,Technology,Enterprise Cloud Based Data Processing,Bangalore,"Institutional Venture Partners, Norwest Venture Partners, Lightspeed Venture Partners, CRV",Private Equity,247.5
1/22/2021,Gajty,Healthcare,Salons & Spa Chain,Gurgaon,Purvi Ventures,Seed Funding,0
1/25/2021,SIFTR Labs,Consumer Internet,Photography curation & Aggregator platform,Mumbai,Venture Catalysts,Seed Funding,1.2375
1/25/2021,Power2SME,Consumer Internet,SME Online Buying Hub,Gurgaon,"Nandan Nilekani, Accel Partners, Kalaari Capital and Inventus Capital",Private Equity,173.25
1/25/2021,SkyCandle,ECommerce,Home D\\xc3\\xa9cor Product etailer,New Delhi,GPA group,Private Equity,0
1/27/2021,Teabox.com,ECommerce,Specialty Tea ETailer,Siliguri,Ratan Tata,Private Equity,0
1/27/2021,Buildzar,ECommerce,Construction Material ETailer,Gurgaon,Puneet Dalmia,Private Equity,33
1/27/2021,Applicate,Technology,"Sales, Market, Distribution & Data Analytics Platform",Bangalore,Undisclosed investors,Seed Funding,8.25
1/27/2021,WhatsOnRent,ECommerce,Online Rental Marketplace,Bangalore,Lalit Mangal & Others,Seed Funding,0
1/28/2021,Zebi (yet to launch),Technology,Data Intelligence & Analytics,Hyderabad,Un disclosed investors,Seed Funding,8.25
1/28/2021,Truce,FMCG,Vegetables & Fruits Supply Chain,Mumbai,"Anupam Mittal, Amit Gupta, Utsav Somani, Neeraj Goenka, Farooq Adam Mukadam",Seed Funding,3.0525
1/28/2021,JustDoc,Consumer Interne,Medical Video Consultation platform,Bangalore,"TV Mohandas Pai, Mohit Saxena, Raghunandan G, Singapore Angel Network, TracxnLabs",Seed Funding,0
1/28/2021,Myeglu,Technology,Connected Smart Home Solutions,Bangalore,Foxconn Technology Group & Others,Seed Funding,0
1/29/2021,BitGiving,Consumer Internet,Crowd Funding Platform,New Delhi,"Harminder Sahni, Krishna Mehra, Sanjay Bakshi",Seed Funding,0
1/29/2021,Qriyo,Consumer Internet,Online Fitness & Educational information Aggregator,Jodhpur,Idein Ventures,Seed Funding,1.32
1/29/2021,N.O.W,Consumer Internet,Rental Bike Aggregator App,Noida,Maple Capital Advisors,Seed Funding,0
1/29/2021,Aisle,Consumer Internet,Indians focused Matchmaking App,Bangalore,"TermSheet, ah! Ventures",Seed Funding,1.52625
1/29/2021,FreshMenu,Consumer Internet,Fresh Food Delivery platform,Bangalore,"Zodius Technology Fund, Lightspeed Venture Partners",Private Equity,140.25
1/29/2021,Truebil,ECommerce,Online marketplace for cars,Mumbai,"Kalaari Capital, Inventus Capital, Tekton Ventures, Kae Capital",Private Equity,42.4875
1/29/2021,Rare Media,Technology,Mobile & Cloud based App developer,New Delhi,Info Edge (India) Ltd,Private Equity,9.075
1/29/2021,TinMen,Consumer Internet,Food Delivery Platform,Hyderabad,Lead Angel Network,Seed Funding,0
1/29/2021,CodingLabs,Technology,Coding Skill Showcase & Resume Builder,Hyderabad,Vineet Nalla,Seed Funding,0
1/30/2021,FindUrClass,Consumer Internet,Hobby & Activity Class Aggregator,Mumbai,"Amit Patni, Anirudh Damani, Samir Shah",Seed Funding,0
1/30/2021,DesignBids,Consumer Internet,Interior Design Marketplace,New Delhi,Indian Angel Network,Seed Funding,0
12/1/2020,CollegeDekho,Online Education Information platform,,Jaipur,GirnarSoft,Seed Funding,8.25
12/1/2020,Black White Orange Brands,Brand Licensing Startup,,Mumbai,YouWeCan Ventures,Seed Funding,0
12/1/2020,Biteclub,Gourmet Food Discovery & Delivery platform,,Gurgaon,growX ventures,Private Equity,0
12/1/2020,Patel Logistics,Transportation & Logistics Platform,,Mumbai,Frontline Strategy,Private Equity,46.2
12/1/2020,Wigzo,Enterprise Marketing Automation platform,,New Delhi,"Aarin Capital Partners, TV Mohandas Pai",Seed Funding,4.125
12/1/2020,Godof Hospitals,Digital Healthcare,,New Delhi,Pankaj Gupta,Seed Funding,16.5
12/2/2020,RoomsTonite,Last Minute Hotel Booking App,,Bangalore,"Lashit Sanghvi, Nikhil Vora, Venkat Vardhan,Mohammed Bin Abdul Rehman Al Khalifa,\\xc2\\xa0 Ralph Berezan, Vissal Mathew,\\xc2\\xa0 Balamurali Krishna",Seed Funding,12.375
12/2/2020,Kaaryah,Womens Fashion Wear Portal,,New Delhi,"The Saha Fund, TV Mohandas Pai",Private Equity,0
12/3/2020,Anakage,Product Learning platform,,Bangalore,CIO Angel Network (CAN),Seed Funding,0
12/3/2020,EasyKhaana,Online Food ordering & Delivery platform,,New Delhi,Undisclosed investors,Seed Funding,0.825
12/3/2020,Shuttl,App based Bus Pooling Services,,Gurgaon,"Sequoia Capital, Times Internet Ltd & One more Fund",Private Equity,165
12/3/2020,Eckovation,Social Learning Platform,,New Delhi,Chandigarh Angel Network (CAN),Seed Funding,0
12/3/2020,Fitcircle,Social Fitness platform,,Mumbai,Beerud Sheth and Ravi Mantha,Seed Funding,0
12/4/2020,Applop,On Demand Mobile app developer,,Kolkata,GHV Accelerator,Seed Funding,0.825
12/4/2020,CaRPM,Car Maintenance & Management mobile app,,Gurgaon,GHV Accelerator,Seed Funding,0.825
12/4/2020,NDTV Wedding portal,Online Wedding Marketplace,,New Delhi,CerraCap,Private Equity,165
12/4/2020,Splitkart,Splitting Bills Mobile App,,New Delhi,"Rajesh Sawhney, Anupam Mittal, Dinesh Agarwal, Gaurav Gupta,",Seed Funding,0
12/7/2020,Zenatix,IOT Energy Management Analytics platform,,Gurgaon,Blume Ventures,Private Equity,0
12/7/2020,Customfurnish,Custom Made furniture e-tailer,,Hyderabad,Agnus Capital,Private Equity,37.125
12/7/2020,Faasos,QSR Chain,,Pune,"ru-Net, Sequoia Capital,\\xc2\\xa0 Lightbox Ventures",Private Equity,247.5
12/7/2020,Vlurn,eLearning platform,,Mumbai,Vidyadhar Sarfare,Seed Funding,0
12/7/2020,Leaf Wearables,Smart Safety Wearable Devices,,New Delhi,"Ajeet Khurana Jinesh Shah, Vikram Chachra, Dr. Aniruddha Malpani",Seed Funding,2.0625
12/7/2020,Coolshare,Cab Sharing service Mobile app,,Mumbai,Gopal Aggarwal,Seed Funding,0.825
12/8/2020,mFicient,Cloud Enterprise Mobility Platform,,New Delhi,Undisclosed investors,Seed Funding,0
12/8/2020,HeyBiz,Online Shopping Assistant Mobile app,,New Delhi,Shopclues,Seed Funding,0
12/8/2020,Yumist,Home Cooked Food Order & Delivery platform,,Gurgaon,"Unilazer Ventures, Orios Venture Partners, Steven Lurie",Private Equity,16.5
12/9/2020,Jigsaw Academy,Online School for Analytics learning,,Bangalore,Manipal Global Education Services,Private Equity,24.75
12/9/2020,JoeHukum,Chat based personal Assistant App,,Gurgaon,"TracxnLabs, Jitendra Gupta, Prashant Tandon",Seed Funding,0
12/9/2020,Voxweb,Picture creation & Social mobile app,,Mumbai,Undisclosed Investor,Seed Funding,2.8875
12/9/2020,Aye Finance,Nonbanking finance company,,New Delhi,"SAIF Partners, Accion",Private Equity,24.75
12/9/2020,JumboBasket,eCommerce returns etailer,,Chandigarh,Chandigarh Angels Network,Seed Funding,0
12/10/2020,BlackBuck,Online Freight Services Aggregator,,Bangalore,"Tiger Global Management, Yuri Milner, Apoletto, Accel Partners, Flipkart",Private Equity,206.25
12/10/2020,HomeStudio,Online Branded Furniture etailer,,Bangalore,Bren Corporation,Private Equity,41.25
12/10/2020,PropheSee,Digital Analytics Platform,,New Delhi,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed Funding,4.125
12/10/2020,i2e1,Internet Network Infrastructure Services,,New Delhi,GrowX Ventures,Seed Funding,4.125
12/10/2020,Holisol Logistics,Supply Chain & Logistics Solutions,,New Delhi,CLSA Capital Partners ARIA IV Funds,Private Equity,82.5
12/10/2020,Stay Simple Resorts,Holiday Resort Chain,,Bangalore,"Mr. Sudhir & Ms. Shalini Sethi, Mr. Praveen Someshwar",Seed Funding,0
12/10/2020,Paynear,Mobile Point of Sale solutions,,Hyderabad,Mitesh Majithia,Private Equity,20.625
12/10/2020,Chillr,Peer-to-Peer Money Transfer & Recharge App,,Mumbai,"Sequoia Capital, Blume Ventures, Uniqorn Ventures and other",Private Equity,577.5
12/11/2020,EureQa,Test Automation SAAS platform,,Hyderabad/USA,"Sashi Reddi, Gabriel Investments",Seed Funding,4.95
12/11/2020,LocalCircles,Citizens Engagement Platform,,Noida,Anand Mahindra,Private Equity,0
12/11/2020,GetFocus,Indoor Navigation & Analytics Solutions,,Mumbai,Undisclosed investors,Seed Funding,0
12/11/2020,UrbanClap,Hyperlocal On-Demand Household Services platform,,Gurgaon,Ratan Tata,Private Equity,0
12/11/2020,OnlineRTI,Online RTI application services,,Bangalore,"LetsVenture, Mohandas Pai",Seed Funding,1.2375
12/11/2020,Powerstores,ECommerce Website Creation SAAS platform,,Goa,Extreme Venture Partners\\xc2\\xa0 William Bissell,Seed Funding,0
12/11/2020,Weddingz.in,Wedding Venues & Vendors Marketplace,,Mumbai,"Rajan Anandan, Zoya Akhtar, Reema Kagati, Ruchi Narain, Amrish Kumar, Hrishikesh Parandekar",Seed Funding,8.25
12/11/2020,Intelligent Interfaces,Interface development platform for Government officials,,Bangalore,"Sachin Bansal, Binny Bansal",Seed Funding,0
12/14/2020,Capricoast,Modular Furnishings Marketplace,,Bangalore,"Accel Partners India, RB Investments",Private Equity,28.875
12/14/2020,JetSetGo,Private Jet Bookings Marketplace,,Bangalore,Puneet Dalmia,Private Equity,0
12/14/2020,Cabsguru,Cab search Comparison & Booking platform,,New Delhi,Prashanth Ranganathan,Seed Funding,1.65
12/14/2020,Whoop,Performance Optimization Platform for athletes,,Boston,Infosys,Private Equity,24.75
12/15/2020,BookEventz,Event Venue Booking Platform,,Mumbai,"Mumbai Angels, Singapore Angel Network, Zishaan Hayath",Seed Funding,0
12/15/2020,Deal Street Asia,Digital Media Platform,,Singapore,"Vijay Shekhar Sharma, Singapore Angels Network",Seed Funding,0
12/15/2020,Streamoid,visual search and discovery platform,,Bangalore / Palo Alto,Undisclosed,Seed Funding,8.25
12/16/2020,Housejoy,Home services marketplace,,Bangalore,"Amazon, Vertex Ventures, Qualcomm, Ru-Net Technology Partners, Matrix Partners",Private Equity,185.625
12/16/2020,Bluebirch,End to End reverse logistics Solution platform,,Bangalore,"Chicago Capital Ventures, Sanjay Mehta, Others",Seed Funding,16.5
12/16/2020,MeraDoctor,Virtual Health consultation app,,Mumbai,Unilazer,Private Equity,9.9
12/16/2020,STAGE 3,Online Renting platform,,New Delhi,"Nisha Sharma, Puneet Dalmia, Balaji Prabhakar",Seed Funding,0
12/17/2020,Rivigo,Logistics Services Provider,,Gurgaon,SAIF Partners and others,Private Equity,247.5
12/17/2020,Springboard,Data Science & UX design Learning platform,,Bangalore,"Allen Blue, John Katzman, Naveen Tewari, Kartik Hosanagar, Kashyap Deorah, 500 Startups, Blue Fog Capital",Seed Funding,14.025
12/17/2020,Eatfresh,Online marketplace for Chef Meals,,Bangalore,Kalaari Capital,Private Equity,0
12/18/2020,Ampere Vehicles,Electric Bike Manufacturers,,Coimbatore,Kris Gopalakrishnan & Others,Seed Funding,9.9
12/18/2020,Focus Digit,ECommerce platform solutions,,New Delhi,Turning Ideas,Seed Funding,0
12/18/2020,The News Minute,Online Media Publication,,Bangalore,Quintillion Media,Seed Funding,0
12/18/2020,CBREX,International Hiring Platform,,Mumbai / NY,"Prahlad Rao, Sundara Rajan, Vikram Chachra",Seed Funding,1.65
12/21/2020,TruckMandi,Logistics Service Provider Marketplace,,New Delhi,"Ritesh Dwivedy, Ramakant Sharma, Mount Nathan Advisors",Private Equity,16.5
12/21/2020,Peppertap,Hyperlocal\\xc2\\xa0 Grocery Delivery Service,,Gurgaon,Innoven Capital,Private Equity,33
12/21/2020,KOOH Sports,Sports Education Platform,,Mumbai,"TCS, HDFC, Faering Capital, Elevate Sports",Private Equity,16.5
12/22/2020,RentOnGo,"Bike, Appliances Renting marketplace",,Bangalore,"Anand Chandrasekaran, Rajesh Sawhney, Kalpana Tatavarti, Shivanandan Pare",Seed Funding,0
12/22/2020,Industrybuying,Online Marketplace for Industrial Goods,,New Delhi,"Murugappa Group, TVS Group, Vellayan Subbiah, Arathi Krishna, Arun Venkatachalam",Seed Funding,0
12/22/2020,Zapr,Reward points mobile app,,Gurgaon,Dinesh Agarwal,Seed Funding,0
12/22/2020,LatestOne,Mobile accessories online store,,Hyderabad,Palred Technologies Ltd,Private Equity,24.75
12/22/2020,PlanetGogo,Content Discovery & reward points platform,,Gurgaon,HT Digital Media Holdings Ltd,Seed Funding,0
12/22/2020,Arya.ai,Artificial Intelligence platform,,Mumbai,"YourNest Angel Fund, Venture Nursery",Private Equity,6.1875
12/22/2020,Doctor Insta,Medical Consultation & Doctor appointment booking platform,,Gurgaon,"Rishi Parti, BrahmaX Ventures",Private Equity,4.125
12/22/2020,MobieFit,Mobile Fitness App,,Goa,Medi Assist,Private Equity,8.25
12/23/2020,LafaLafa,"Digital Coupons, Deal & Cashback aggregator app",,Mumbai,Vectr Ventures,Private Equity,0
12/23/2020,Mech Mocha,Mobile Game development & Design platform,,Bangalore,"Blume Ventures, Flipkart",Seed Funding,8.25
12/23/2020,Shotang.com,B2B eCommerce Marketplace,,Bangalore,"Exfinity Venture Partners, Unitus Impact Livelihoods Fund",Private Equity,41.25
12/23/2020,CityFurnish,Furniture and appliances rental platform,,Gurgaon,Jitendra Gupta,Seed Funding,0
12/24/2020,Black White Orange,B2B Merchandize platform,,Mumbai,Collaborative Licensing Ventures LLP,Seed Funding,2.49975
12/24/2020,Kolabro,Real Estate focused Tech platform,,Gurgaon,"Umang Kumar, Ruchir Arora & others",Seed Funding,0
12/24/2020,Canvera,Photographer Online search & booking platform,,Bangalore,Info Edge (India) Ltd,Private Equity,18.15
12/28/2020,Town Essentials,Grocery Delivery platform,,Bangalore,"Sharad Hegde, Girish Reddy, Siddharth Patil, Shrikant Patil",Seed Funding,8.25
12/28/2020,Bumper,Mobile Car Servicing appointment app,,Bangalore,SAIF Partners,Seed Funding,4.125
12/29/2020,Hotify,New Curation Mobile App,,Bangalore,Mahavir Pratap Sharma,Seed Funding,1.2375
12/29/2020,MobiKwik,Mobile Wallet,,Gurgaon,"Sequoia Capital, Tree Line Asia, Innoven Capital",Private Equity,54.45
12/30/2020,Intelligent Interfaces,Interface development platform for Government officials,,Bangalore,Yuvraj Singh,Seed Funding,0
11/2/2020,Twigly,Online Food Ordering & Delivery platform,,Gurgaon,"Amit Gupta, Sahil Barua, Mukul Singhal, Tracxn Labs",Seed Funding,1.65
11/2/2020,CityFlo,Bus Aggregation and rental mobile app,,Mumbai,IDG Ventures,Seed Funding,6.1875
11/3/2020,Findyahan,hyperlocal online Services platform,,Noida,Times Group Brand Capital,Private Equity,0
11/3/2020,Sabse,WiFi \xe2\x80\x93 first Cloud communication platform,,Mumbai,Ratan Tata,Private Equity,0
11/3/2020,Pokkt,Alternate Mobile Monetization platform,,Mumbai,"Segnel Venture, Shinji Kimura, Sundar Chanrai, JAFCO Asia, SingTel\\xe2\\x80\\x99s Innov8, Jungle Ventures, K Ganesh",Private Equity,41.25
11/3/2020,oibanit,Online Food Ordering Marketplace,,Vadodara,"Varun Ahuja, Anubhav Verma",Seed Funding,1.2375
11/3/2020,Stuffed,Quick Service Restaurant & Online Delivery,,Mumbai,Riqueza Capital,Seed Funding,3.17625
11/3/2020,Deyor Rooms,Budget Hotels Aggregator,,New Delhi,Dheeraj Jain & Others,Seed Funding,4.125
11/3/2020,Bidgely,Efficient Energy Management platform,,USA/India,"Constellation Technology Ventures (Exelon Corporation), E.ON, RWE, Khosla Ventures",Private Equity,136.95
11/4/2020,Shirsa Labs,Digital Intelligent learning platform,,Mumbai,ah! Ventures,Seed Funding,2.0625
11/4/2020,Paytunes,Voice Call incentivization mobile app,,New Delhi,CIO Angel Network,Seed Funding,0
11/4/2020,YourDOST,Online Counselling and psychological support platform,,Gwalior,"Phanindra Sama, Aprameya Radhakrishna, Aneesh Reddy, Neeraj Jawalkar, Sanjay Anandaram, Pavan Ongole, Venk Krishnan",Seed Funding,3.3
11/5/2020,BookMyBai,Domestic Help Aggregation platform,,Mumbai,Vineel Nalla & Others,Seed Funding,1.2375
11/5/2020,MyIndianStay,Home Stay & room rentals platform,,Goa,Undisclosed investors,Seed Funding,1.65
11/5/2020,Bobble,Selfie Mobile App,,New Delhi,SAIF Partners & others,Private Equity,0
11/6/2020,RepUp,Online Reputation Management Platform,,Gurgaon,Indian Angel Network,Seed Funding,0
11/6/2020,Satvacart,Online Grocery platform,,Gurgaon,Undisclosed HNIs,Private Equity,14.85
11/6/2020,POPxo.com,Online content platform for women,,New Delhi,"IDG Ventures India, Kalaari Capital, 500 Startups",Private Equity,16.5
11/6/2020,SparesHub,Online Vehicle Spare Parts etailer,,Pune,"Hyderabad Angels, M&S Partners",Seed Funding,3.795
11/6/2020,Explara,Event Ticketing platform,,Pune,"Hyderabad Angels, Singapore Angel Network, Ness Wadia",Private Equity,4.0425
11/6/2020,Soothe Healthcare,affordable Personal Healthcare Products,,Noida,Saina Nehwal,Seed Funding,0
11/6/2020,Yuvi Hospitality,Premium dining Lounges & restaurants,,Gurgaon,Chandralekha Construction Pvt. Ltd.,Private Equity,123.75
11/9/2020,AppVirality,Mobile Growth Hacking\\nPlatform,,Hyderabad,"Rajan Anandan, Mike Galgon, Ravi Gururaj, Ashim Mehra,\\xc2\\xa0 Mohit Saxena, Internet Group, TNN Capital and others",Seed Funding,4.125
11/9/2020,iStar Skill Development,Skill Training Startup,,Bangalore,"Michael & Susan Dell Foundation, Unitus Seed Fund",Private Equity,12.375
11/9/2020,BigStylist.com,Beauty and Wellness Marketplace,,Mumbai,Info Edge,Private Equity,8.25
11/9/2020,Zilingo,Marketplace App for Bangkok,,Bangalore/ Bangkok,"Sequoia India, BEENEXT Ventures, Kunal Shah & Sandeep Tandon",Private Equity,15.675
11/9/2020,Didi,On-demand Maids Service Provider,,Mumbai,"Jozef Bardik, Leo Wang Sangeeth Ram",Seed Funding,1.2375
11/9/2020,Skoov.com,eCommerce Product Search Engine,,Mumbai,undisclosed investor,Seed Funding,1.2375
11/10/2020,Chefs Basket,Ready to cook packaged Foods,,Mumbai,"SAIF Partners, Haresh Chawla",Private Equity,49.5
11/11/2020,Gingercrush,Product Customization Platform,,Vadodara,TV Mohandas Pai\\xe2\\x80\\x99s family office,Seed Funding,0
11/11/2020,Delight Foods,Branded Food products online sales,,Bangalore,"Lensbridge Capital, Mape Advisory Group, Fireside Ventures",Private Equity,4.95
11/11/2020,6Degree,Talent platform for Fashion professionals,,Goa/Hyderabad,"Centre For Incubation & Business Acceleration (CIBA), Goa",Seed Funding,0
11/11/2020,RenewBuy,Auto Insurance Online platform,,Gurgaon,Mount Nathan Advisors Pte Ltd,Seed Funding,4.125
11/11/2020,Grab,Hyperlocal Logistics Service Provider,,Mumbai,Sixth Sense Ventures,Seed Funding,0
11/12/2020,Hitwicket,Cricket Management Mobile Game,,Hyderabad,Chennai Angels,Seed Funding,2.0625
11/13/2020,Flashdoor,On Demand Laundry Service platform,,Bangalore,"Sujeet Kumar, Ankit Nagori, Traxcn Labs",Seed Funding,0
11/16/2020,Cashkaro.com,Ecommerce Discount & Cashback coupons platform,,Gurgaon,Kalaari Capital,Private Equity,30.525
11/16/2020,Absentia,Virtual Reality Headset creator,,Bangalore,"Astarc Ventures, 50K Ventures & others",Seed Funding,1.485
11/16/2020,Renowala,Home Improvement Service platform,,Hyderabad,Logtally,Seed Funding,0
11/16/2020,TaskBucks,mobile-only tasks marketplace,,New Delhi,Times Internet,Private Equity,123.75
11/17/2020,CraftsVilla,Women Ethnic Wear\\xc2\\xa0 Online Marketplace,,Mumbai,"Sequoia India, Lightspeed Venture Partners, Nexus Venture Partners, Global Founders Capital, Apoletto",Private Equity,280.5
11/17/2020,Julia Computing,Numerical Computing & Data Science Platform,,Bangalore,Gordon and Betty Moore Foundation,Seed Funding,4.95
11/17/2020,StyleTag,Designer fashion Jewellery Marketplace,,Bangalore,Jitu Virwani,Seed Funding,61.875
11/17/2020,Smytten,Online Products Discovery Platform,,Gurgaon,"Rimpal Chawla, Anuj Srivastava",Seed Funding,1.65
11/17/2020,BiBox,Kids Tool kit for Innovation platform,,Bangalore,Ravi Krishnamurthy,Seed Funding,4.3725
11/17/2020,Convegenius,Mobile Learning Solutions,,Noida / Singapore,Enablers platform,Seed Funding,2.475
11/18/2020,Ola,Car Aggregator & Retail Mobile App,,Bangalore,"Baillie Gifford, Falcon Edge Capital, Tiger Global, SoftBank Group, DST Global, Didi Kuaidi",Private Equity,4125
11/18/2020,Goodbox,conversational commerce mobile app,,Bangalore,Nexus Venture Partners,Private Equity,20.625
11/18/2020,ScoopWhoop,Viral Content web Platform,,New Delhi,Kalaari Capital,Private Equity,33
11/18/2020,Hipship,Express local delivery platform,,Bangalore,"Inara Capital , Rishi Khiani",Seed Funding,0
11/18/2020,Pickrr,On-Demand Local Logistics provider,,New Delhi,Palaash Ventures,Seed Funding,0
11/18/2020,Truelancer,Curated Freelancer Marketplace,,New Delhi,"Blackstone Valley Group, Raghu Vohra, Aditya Dev Sood, Kamal Bansal",Seed Funding,0
11/19/2020,AHA Taxis,Online Taxi Rental Platform,,Noida,ah! Ventures,Seed Funding,0
11/19/2020,UrbanClap,Mobile Services Marketplace,,Gurgaon,"Bessemer Venture Partner, Accel, SAIF Partners",Private Equity,206.25
11/19/2020,SenseGiz,Smartwatch Maker,,Belgaum,Karnataka Semiconductor Venture Capital firm,Seed Funding,4.125
11/19/2020,PlaceofOrigin,Online Gourmet Food Marketplace,,Bangalore,"S.D. Shibulal, Kris Gopalakrishnan, Srinath Batni, Professor Tarun Khanna,\\xc2\\xa0 Ganapathy Venugopal.",Seed Funding,0
11/19/2020,Fourseven,Online Jewellery etailer,,New Delhi,Indian Angel Network,Seed Funding,3.75375
11/20/2020,MindTickle,Sales & Productivity Software,,Pune / US,New Enterprise Associates,Private Equity,103.125
11/20/2020,Shopsense,ecommerce related software product platform,,Mumbai,"Kae Capital, Kunal Bahl, Rohit Bansal",Seed Funding,0
11/20/2020,Medinfi,Health-Tech platform,,Bangalore,"Ram Kumar Kakani, Pradeep K Jaisingh, Sunil T V, Vijay Ghadge, Hemant Kaul, Gurmeet Chahal & Others",Seed Funding,2.51625
11/20/2020,OUWT,Nightlife Discovery Mobile App,,Mumbai,Undisclosed investors,Seed Funding,1.2375
11/20/2020,HeyPillow,Online Real Estate Marketplace,,Bangalore,Hampton Capital,Private Equity,24.75
11/21/2020,Healers At Home,"Home Healthcare Services platform,",,New Delhi,"Daljit Singh, Dr. Pramath Raj Sinha, BVR Mohan Reddy",Seed Funding,0
